ID Utilisateur,Genre,Age,Salaire,Achat
15624510,Homme,19,19000,0
15810944,Homme,35,20000,0
15668575,Femme,26,43000,0
15603246,Femme,27,57000,0
15804002,Homme,19,76000,0
15728773,Homme,27,58000,0
15598044,Femme,27,84000,0
15694829,Femme,32,150000,1
15600575,Homme,25,33000,0
15727311,Femme,35,65000,0
15570769,Femme,26,80000,0
15606274,Femme,26,52000,0
15746139,Homme,20,86000,0
15704987,Homme,32,18000,0
15628972,Homme,18,82000,0
15697686,Homme,29,80000,0
15733883,Homme,47,25000,1
15617482,Homme,45,26000,1
15704583,Homme,46,28000,1
15621083,Femme,48,29000,1
15649487,Homme,45,22000,1
15736760,Femme,47,49000,1
15714658,Homme,48,41000,1
15599081,Femme,45,22000,1
15705113,Homme,46,23000,1
15631159,Homme,47,20000,1
15792818,Homme,49,28000,1
15633531,Femme,47,30000,1
15744529,Homme,29,43000,0
15669656,Homme,31,18000,0
15581198,Homme,31,74000,0
15729054,Femme,27,137000,1
15573452,Femme,21,16000,0
15776733,Femme,28,44000,0
15724858,Homme,27,90000,0
15713144,Homme,35,27000,0
15690188,Femme,33,28000,0
15689425,Homme,30,49000,0
15671766,Femme,26,72000,0
15782806,Femme,27,31000,0
15764419,Femme,27,17000,0
15591915,Femme,33,51000,0
15772798,Homme,35,108000,0
15792008,Homme,30,15000,0
15715541,Femme,28,84000,0
15639277,Homme,23,20000,0
15798850,Homme,25,79000,0
15776348,Femme,27,54000,0
15727696,Homme,30,135000,1
15793813,Femme,31,89000,0
15694395,Femme,24,32000,0
15764195,Femme,18,44000,0
15744919,Femme,29,83000,0
15671655,Femme,35,23000,0
15654901,Femme,27,58000,0
15649136,Femme,24,55000,0
15775562,Femme,23,48000,0
15807481,Homme,28,79000,0
15642885,Homme,22,18000,0
15789109,Femme,32,117000,0
15814004,Homme,27,20000,0
15673619,Homme,25,87000,0
15595135,Femme,23,66000,0
15583681,Homme,32,120000,1
15605000,Femme,59,83000,0
15718071,Homme,24,58000,0
15679760,Homme,24,19000,0
15654574,Femme,23,82000,0
